PLAN,DESCRIPTION,APPLICATION_REFERENCE,APPLICATION_NO,chargeAcPrefix,chargeAc,chargeAmount,VALUEFIRST,VALUEFIRST_LABEL,VALUE1_LABEL,VALUE1,VALUE2_LABEL,VALUE2,VALUE3_LABEL,VALUE3,VALUE4_LABEL,VALUE4,LikelyExpired,PROPERTY_NO,Purpose,transAcPrefix,transAc,transAmount
S94-01,S94-01 - Casual Open Space,0066/2001S96,314275,ZFRI,ZFRInfrastructure,6354,6,ET (Casual OS),ET (Casual OS),6,ET (Struct OS),6,,,,,Expired,49411,Open Space,ZFDC,ZFDCCasual1,-6354
S94-01,S94-01 - Casual Open Space,0111/2002DA,311744,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,51169,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,0140/2002DA,311516,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,42928,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,0161/2002DA,311507,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,42927,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,0175/2002DA,311603,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,42929,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,0176/2001DA,310044,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,34289,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,0185/2001DA,310003,ZFRI,ZFRInfrastructure,2118,2,ET (Casual OS),ET (Casual OS),2,ET (Struct OS),2,,,,,Expired,42677,Open Space,ZFDC,ZFDCCasual1,-2118
S94-01,S94-01 - Casual Open Space,0570/2000DA,311374,ZFRI,ZFRInfrastructure,9531,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,16996,Open Space,ZFDC,ZFDCCasual1,-13627
S94-01,S94-01 - Casual Open Space,0589/2000DA,311356,ZFRI,ZFRInfrastructure,12708,12,ET (Casual OS),ET (Casual OS),12,ET (Struct OS),,,,,,Expired,41073,Open Space,ZFDC,ZFDCCasual1,-12708
S94-01,S94-01 - Casual Open Space,0969/2001DA,311459,ZFRI,ZFRInfrastructure,12848,12.132,ET (Casual OS),ET (Casual OS),12.132,ET (Struct OS),12.138,,,,,Expired,44118,Open Space,ZFDC,ZFDCCasual1,-12848
S94-01,S94-01 - Casual Open Space,1288/2000DA,311182,ZFRI,ZFRInfrastructure,4814,4.545798,ET (Casual OS),ET (Casual OS),4.545798,ET (Struct OS),0.879934,,,,,Expired,34001,Open Space,ZFDC,ZFDCCasual1,-4814
S94-01,S94-01 - Casual Open Space,1349/2001DA,311002,ZFRI,ZFRInfrastructure,49274,46.528,ET (Casual OS),ET (Casual OS),46.528,ET (Struct OS),46.551,,,,,Expired,42412,Open Space,ZFDC,ZFDCCasual1,-49274
S94-01,S94-01 - Casual Open Space,1372/2001DA,311128,ZFRI,ZFRInfrastructure,547,0.517,ET (Casual OS),ET (Casual OS),0.517,ET (Struct OS),0.517,,,,,Expired,44111,Open Space,ZFDC,ZFDCCasual1,-547
S94-01,S94-01 - Casual Open Space,D94/0379,298447,ZFRI,ZFRInfrastructure,21180,4,ET (Casual OS),ET (Casual OS),4,ET (Struct OS),4,,,,,Expired,49411,Open Space,ZFDC,ZFDCCasual1,-20982
S94-01,S94-01 - Casual Open Space,DA02/0469,361451,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,43187,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0470,361455,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,51176,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0473,361521,ZFRI,ZFRInfrastructure,11649,11,ET (Casual OS),ET (Casual OS),11,ET (Struct OS),11,,,,,Expired,52920,Open Space,ZFDC,ZFDCCasual1,-11649
S94-01,S94-01 - Casual Open Space,DA02/0546,362485,ZFRI,ZFRInfrastructure,1059,1.724268,ET (Casual OS),ET (Casual OS),1.724268,ET (Struct OS),0.33361,,,,,Expired,51186,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0702,364259,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,52810,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0706,364274,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),0,,,,,Expired,52690,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0707,364279,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,53150,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0710,364288,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,52820,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0716,364355,ZFRI,ZFRInfrastructure,2186,3,ET (Casual OS),ET (Casual OS),3,ET (Struct OS),,,,,,Expired,52890,Open Space,ZFDC,ZFDCCasual1,-1093
S94-01,S94-01 - Casual Open Space,DA02/0745,364528,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,53070,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0747,364539,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,53080,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0797,365167,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54120,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0799,365176,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54140,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0803,365191,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54110,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0808,365210,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54130,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0809,365216,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54090,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0810,365221,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54100,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0901,366308,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,37081,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0933,366641,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,53210,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/0934,366642,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,53220,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/1098,368111,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54530,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/1102,368134,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54510,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/1106,368148,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54540,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/1107,368152,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54550,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/1108,368157,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54500,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/1109,368164,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,54520,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/1134,368506,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,57730,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/1150,368705,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,57740,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/1191,369074,ZFRI,ZFRInfrastructure,87976,17,ET (Casual OS),ET (Casual OS),17,ET (Struct OS),17,,,,,Expired,31550,Open Space,ZFDC,ZFDCCasual1,-26707
S94-01,S94-01 - Casual Open Space,DA02/1267,369828,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,53140,Open Space,ZFDC,ZFDCCasual1,-1059
S94-01,S94-01 - Casual Open Space,DA02/1284,370118,ZFRI,ZFRInfrastructure,2118,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,17935,Open Space,,,
S94-01,S94-01 - Casual Open Space,DA02/1413,371420,ZFRI,ZFRInfrastructure,1059,1,ET (Casual OS),ET (Casual OS),1,ET (Struct OS),1,,,,,Expired,51177,Open Space,ZFDC,ZFDCCasual1,-1059
