Plan,Purpose,Levy,LEVIED,LEVIED Description,PAID,PAID Description,WIK CREDIT,WIK Description,BALANCE,Application ID,Application Description,Short Description,Lots,DECISION,Approval Date,Approval Year,APPLICATION_NO,RAM_PROCESS_CTR,locality,legal_description,formatted_address,Determined By,TR TYPE,CHARGE_TYPE,Initial Balance,Charge Amount,Amount,CHARGE_CTR,Reference
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),3876,0,,,,,0,DA20/0691,new generation boarding house comprising eight (8) self-contained rooms including demolition and earthworks,new generation boarding house comprising eight (8) self-cont,1,Approved,2021-11-09,2021,865460,865460,TWEED HEADS SOUTH,Lot 6 DP 239236,30 Altair Street TWEED HEADS SOUTH NSW 2486,Council,LEVIED,ComFac15,3876,3876,3876,12118158,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-1122,0,,,0,DA19/0746,detached dual occupancy,detached dual occupancy,1,Approved,2020-05-11,2020,834021,834021,BANORA POINT,Lot 7 DP 842627,22 Bushland Drive BANORA POINT NSW 2486,Council,PAID,CasOS_26,1122,1122,-1122,10953921,
S94-04,Roads,S94-04 - Road Contribution Sector 05,,,-3150,0,,,0,DA21/0200,detached dual occupancy,detached dual occupancy,2,Approved,2021-11-24,2021,888757,888757,TERRANORA,Lot 7 DP 1264394,87 Henry Lawson Drive TERRANORA NSW 2486,Council,PAID,Sector5_4,3150,3150,-3150,12132258,
S94-13,Other,S94-13 - Eviron Cemetery,93,0,,,,,0,DA15/0924,demolition of existing carport and construction of second dwelling to create a dual occupancy,demolition of existing carport and construction of second dw,1,Approved,2016-03-08,2016,681428,681428,POTTSVILLE,"Lot 1 DP 1243524
Being Lots 1-2 SP 98974",41 Victoria Avenue POTTSVILLE NSW 2489,Council,LEVIED,ResDevt13,93,93,93,7570824,
S94-11,Community Facilities,S94-11 - Library Facilities,616,0,,,,,0,DA17/0532,change of use of one tourist accommodation unit to dual use shop top housing and serviced apartments,change of use of one tourist accommodation unit to dual use ,1,Approved,2017-10-30,2017,750960,750960,TWEED HEADS,Lot 106 SP 79995,106/20-22 Stuart Street TWEED HEADS NSW 2485,Council,LEVIED,ResDevt11,616,616,616,9100813,
S94-05,Open Space,S94-05 - Casual Open Space (Local),477,0,,,,,477,DA20/0182,attached dual occupancy over two stages,attached dual occupancy over two stages,1,Approved,2020-09-09,2020,848915,848915,NUNDERI,Lot 2 DP 818099,29 Norths Lane NUNDERI NSW 2484,Council,LEVIED,CasualOS_5,477,477,477,11371160,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),208,0,,,,,0,DA20/0643,conversion of gym and storeroom into rumpus with a bathroom and use of an existing carport (unit 2),conversion of gym and storeroom into rumpus with a bathroom ,1,Approved,2021-03-11,2021,863743,863743,BANORA POINT,Lot 2 SP 56912,2/6 Dunloy Court BANORA POINT NSW 2486,Council,LEVIED,ComFac15,208,208,208,11554055,
S94-11,Community Facilities,S94-11 - Library Facilities,1007,0,,,,,0,DA20/0293,"dual use (permanent residential and tourist and visitor accommodation) of dual occupancy (attached) including two (2) swimming pools, and strata subdivision",dual use (permanent residential and tourist and visitor acco,2,Approved,2020-11-30,2020,853098,853098,KINGSCLIFF,"Lot 1 DP 1262504
Being Lots 1-2 SP 104576",49 Nautilus Way KINGSCLIFF NSW 2487,Council,LEVIED,ResDevt11,1007,1007,1007,11441199,
S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,,,-32745.2,DA15/0817 (40% emp generating disc),,,57195,DA15/0817,"three storey shop top housing, comprising four commercial/retail tenancies and three residential units","three storey shop top housing, comprising four commercial/re",3,Approved,2016-12-05,2016,677759,677759,BOGANGAR,Lot 2 DP 842350,27 Tweed Coast Road BOGANGAR NSW 2488,Council,PAID,Sector7_4,89940.2,89940.2,-32745.2,8146356,DA15/0817 (40% emp generating disc)
S94-26,Open Space,S94-26 - Structured Open Space (Regional),128251,"DA20/0466 (Stg 2),DA20/0466 (Stg 3)",,,,,128251,DA20/0466,"staged development comprising of multi dwelling housing (37 townhouses), 11 swimming pools, 33 lot community title subdivision, and associated works",staged development comprising of multi dwelling housing (37 ,33,DefdComnce,2021-08-10,2021,858655,858655,KINGSCLIFF,"Lot 169 DP 1075495
Lot 930 DP 1079118",4-8 Bells Boulevard KINGSCLIFF NSW 2487,Council-Deferred,LEVIED,StrucOS_26,128251,128251,128251,12024235,"DA20/0466 (Stg 2),DA20/0466 (Stg 3)"
