Purpose,Transaction Year,Transaction Date,Transaction Type,Receipt Type,Plan,Levy,LEVIED,PAID,BALANCE,Application ID,Application Description,Short Description,Lots,Approval Date,Approval Year,locality,DECISION,Determined By,Works In Kind,Works In Kind Description,CHARGE_TYPE,APPLICATION_NO,RAM_PROCESS_CTR,Initial Balance,Charge Amount
Other,2022,2022-11-18T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,5255.3,5255.3,0,DA20/0691,new generation boarding house comprising eight (8) self-contained rooms including demolition and earthworks,new generation boarding house comprising eight (8) self-cont,1,2021-11-09T09:50:22.567,2021,TWEED HEADS SOUTH,Approved,Council,FALSE,,Shirewide,865460,865460,5255.3,5255.3
Other,2022,2022-11-18T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,334,334,0,DA20/0691,new generation boarding house comprising eight (8) self-contained rooms including demolition and earthworks,new generation boarding house comprising eight (8) self-cont,1,2021-11-09T09:50:22.567,2021,TWEED HEADS SOUTH,Approved,Council,FALSE,,ResDevt13,865460,865460,334,334
Other,2022,2022-11-18T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,177,177,0,DA20/0691,new generation boarding house comprising eight (8) self-contained rooms including demolition and earthworks,new generation boarding house comprising eight (8) self-cont,1,2021-11-09T09:50:22.567,2021,TWEED HEADS SOUTH,Approved,Council,FALSE,,Over10ET,865460,865460,177,177
Other,2017,2017-09-08T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,58,58,0,DA17/0254,alterations and additions to create detached dual occupancy and 2 lot strata subdivision,alterations and additions to create detached dual occupancy ,2,2017-08-31T11:38:35,2017,POTTSVILLE,Approved,Council,FALSE,,Over10ET,740384,740384,58,58
Other,2017,2017-09-08T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,111,111,0,DA17/0254,alterations and additions to create detached dual occupancy and 2 lot strata subdivision,alterations and additions to create detached dual occupancy ,2,2017-08-31T11:38:35,2017,POTTSVILLE,Approved,Council,FALSE,,ResDevt13,740384,740384,111,111
Other,2017,2017-09-08T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,1693.67,1693.67,0,DA17/0254,alterations and additions to create detached dual occupancy and 2 lot strata subdivision,alterations and additions to create detached dual occupancy ,2,2017-08-31T11:38:35,2017,POTTSVILLE,Approved,Council,FALSE,,Shirewide,740384,740384,1693.67,1693.67
Other,2018,2018-08-09T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,99,99,0,DA17/0689,two dual occupancy developments,two dual occupancy developments,4,2018-02-09T09:25:37,2018,BANORA POINT,Approved,Council,FALSE,,Over10ET,756757,756757,99,99
Other,2018,2018-08-09T00:00:00,Payment,Receipt,S94-13,S94-13 - Eviron Cemetery,191,191,0,DA17/0689,two dual occupancy developments,two dual occupancy developments,4,2018-02-09T09:25:37,2018,BANORA POINT,Approved,Council,FALSE,,ResDevt13,756757,756757,191,191
Other,2018,2018-08-09T00:00:00,Payment,Receipt,S94-18,S94-18 - Council Admin/Support Facilities,2903.43,2903.43,0,DA17/0689,two dual occupancy developments,two dual occupancy developments,4,2018-02-09T09:25:37,2018,BANORA POINT,Approved,Council,FALSE,,Shirewide,756757,756757,2903.43,2903.43
Other,2018,2018-08-09T00:00:00,Payment,Receipt,S94-12,S94-12 - Bus Shelters,66,66,0,DA17/0351,demolition of existing dwelling and shed and 2 lot subdivision,demolition of existing dwelling and shed and 2 lot subdivisi,2,2017-09-26T15:04:58,2017,BANORA POINT,Approved,Council,FALSE,,Over10ET,744078,744078,66,66
