Account Number,Plan Description,Balance,Plan Description,Sector Description ,DataDate,Activity Description,Plan,Activity,Sector,Sector Desc
01.05.00,DCP3 Open Space,1584.33,01-DCP3 Open Space,No Sector,26/08/2024,Open Space,01,05,00,No Sector
01.05.00,DCP3 Open Space,-41558.21,01-DCP3 Open Space,No Sector,26/08/2024,Open Space,01,05,00,No Sector
01.05.00,DCP3 Open Space,39973.88,01-DCP3 Open Space,No Sector,26/08/2024,Open Space,01,05,00,No Sector
01.15.00,DCP3 Open Space,-37507.74,01-DCP3 Open Space,No Sector,26/08/2024,Casual Open Space,01,15,00,No Sector
01.15.00,DCP3 Open Space,16309.67,01-DCP3 Open Space,No Sector,26/08/2024,Casual Open Space,01,15,00,No Sector
01.15.00,DCP3 Open Space,223.47,01-DCP3 Open Space,No Sector,26/08/2024,Casual Open Space,01,15,00,No Sector
01.15.00,DCP3 Open Space,-944844.21,01-DCP3 Open Space,No Sector,26/08/2024,Casual Open Space,01,15,00,No Sector
01.16.00,DCP3 Open Space,-203255.37,01-DCP3 Open Space,No Sector,26/08/2024,Structured Open Space,01,16,00,No Sector
01.16.00,DCP3 Open Space,14431.01,01-DCP3 Open Space,No Sector,26/08/2024,Structured Open Space,01,16,00,No Sector
01.16.00,DCP3 Open Space,317.41,01-DCP3 Open Space,No Sector,26/08/2024,Structured Open Space,01,16,00,No Sector
01.16.00,DCP3 Open Space,-5126153.11,01-DCP3 Open Space,No Sector,26/08/2024,Structured Open Space,01,16,00,No Sector
02.01.00,Western Drainage,-3437.2,02-Western Drainage,No Sector,26/08/2024,Drainage,02,01,00,No Sector
02.01.00,Western Drainage,-1263.68,02-Western Drainage,No Sector,26/08/2024,Drainage,02,01,00,No Sector
02.01.00,Western Drainage,63.19,02-Western Drainage,No Sector,26/08/2024,Drainage,02,01,00,No Sector
02.01.00,Western Drainage,-86333.95,02-Western Drainage,No Sector,26/08/2024,Drainage,02,01,00,No Sector
03.06.00,DCP3 Community Facilities,-80.18,03-DCP3 Community Facilities,No Sector,26/08/2024,Community Facilities,03,06,00,No Sector
03.06.00,DCP3 Community Facilities,2103.16,03-DCP3 Community Facilities,No Sector,26/08/2024,Community Facilities,03,06,00,No Sector
03.06.00,DCP3 Community Facilities,-2022.98,03-DCP3 Community Facilities,No Sector,26/08/2024,Community Facilities,03,06,00,No Sector
04.02.00,TRCP,1455379.41,04-TRCP,No Sector,26/08/2024,Roads,04,02,00,No Sector
04.02.00,TRCP,1236226.66,04-TRCP,No Sector,26/08/2024,Roads,04,02,00,No Sector
04.02.00,TRCP,36720356.64,04-TRCP,No Sector,26/08/2024,Roads,04,02,00,No Sector
04.02.01,TRCP,-202963.33,04-TRCP,Sector 1,26/08/2024,Roads,04,02,01,Sector 1
04.02.01,TRCP,-213219.85,04-TRCP,Sector 1,26/08/2024,Roads,04,02,01,Sector 1
04.02.01,TRCP,10661,04-TRCP,Sector 1,26/08/2024,Roads,04,02,01,Sector 1
04.02.01,TRCP,-4998540.34,04-TRCP,Sector 1,26/08/2024,Roads,04,02,01,Sector 1
04.02.02,TRCP,-455255.65,04-TRCP,Sector 2,26/08/2024,Roads,04,02,02,Sector 2
04.02.02,TRCP,-555013.9,04-TRCP,Sector 2,26/08/2024,Roads,04,02,02,Sector 2
04.02.02,TRCP,27750.71,04-TRCP,Sector 2,26/08/2024,Roads,04,02,02,Sector 2
04.02.02,TRCP,-11144568.17,04-TRCP,Sector 2,26/08/2024,Roads,04,02,02,Sector 2
04.02.03,TRCP,-139300.53,04-TRCP,Sector 3,26/08/2024,Roads,04,02,03,Sector 3
04.02.03,TRCP,-3514660.64,04-TRCP,Sector 3,26/08/2024,Roads,04,02,03,Sector 3
04.02.04,TRCP,-96025.86,04-TRCP,Sector 4,26/08/2024,Roads,04,02,04,Sector 4
04.02.04,TRCP,-38143.76,04-TRCP,Sector 4,26/08/2024,Roads,04,02,04,Sector 4
04.02.04,TRCP,1907.19,04-TRCP,Sector 4,26/08/2024,Roads,04,02,04,Sector 4
04.02.04,TRCP,-2404049.01,04-TRCP,Sector 4,26/08/2024,Roads,04,02,04,Sector 4
04.02.05,TRCP,-218799.49,04-TRCP,Sector 5,26/08/2024,Roads,04,02,05,Sector 5
04.02.05,TRCP,-1303656.37,04-TRCP,Sector 5,26/08/2024,Roads,04,02,05,Sector 5
04.02.05,TRCP,64373.42,04-TRCP,Sector 5,26/08/2024,Roads,04,02,05,Sector 5
04.02.05,TRCP,-4753631.62,04-TRCP,Sector 5,26/08/2024,Roads,04,02,05,Sector 5
04.02.06,TRCP,-205928.42,04-TRCP,Sector 6,26/08/2024,Roads,04,02,06,Sector 6
04.02.06,TRCP,-593129.59,04-TRCP,Sector 6,26/08/2024,Roads,04,02,06,Sector 6
04.02.06,TRCP,30599.28,04-TRCP,Sector 6,26/08/2024,Roads,04,02,06,Sector 6
04.02.06,TRCP,-4977752.8,04-TRCP,Sector 6,26/08/2024,Roads,04,02,06,Sector 6
04.02.07,TRCP,-555395.05,04-TRCP,Sector 7,26/08/2024,Roads,04,02,07,Sector 7
04.02.07,TRCP,-389954.94,04-TRCP,Sector 7,26/08/2024,Roads,04,02,07,Sector 7
04.02.07,TRCP,19497.75,04-TRCP,Sector 7,26/08/2024,Roads,04,02,07,Sector 7
04.02.07,TRCP,-13733914.9,04-TRCP,Sector 7,26/08/2024,Roads,04,02,07,Sector 7
04.02.08,TRCP,-270562.65,04-TRCP,Sector 8,26/08/2024,Roads,04,02,08,Sector 8
04.02.08,TRCP,-66357.02,04-TRCP,Sector 8,26/08/2024,Roads,04,02,08,Sector 8
04.02.08,TRCP,3317.86,04-TRCP,Sector 8,26/08/2024,Roads,04,02,08,Sector 8
04.02.08,TRCP,-6768991.33,04-TRCP,Sector 8,26/08/2024,Roads,04,02,08,Sector 8
04.02.09,TRCP,-289640.28,04-TRCP,Sector 9,26/08/2024,Roads,04,02,09,Sector 9
04.02.09,TRCP,-471577.65,04-TRCP,Sector 9,26/08/2024,Roads,04,02,09,Sector 9
04.02.09,TRCP,23578.89,04-TRCP,Sector 9,26/08/2024,Roads,04,02,09,Sector 9
04.02.09,TRCP,-7120524.09,04-TRCP,Sector 9,26/08/2024,Roads,04,02,09,Sector 9
04.02.10,TRCP,-131335.47,04-TRCP,Sector 10,26/08/2024,Roads,04,02,10,Sector 10
04.02.10,TRCP,-11180.91,04-TRCP,Sector 10,26/08/2024,Roads,04,02,10,Sector 10
04.02.10,TRCP,559.05,04-TRCP,Sector 10,26/08/2024,Roads,04,02,10,Sector 10
04.02.10,TRCP,-3307999.55,04-TRCP,Sector 10,26/08/2024,Roads,04,02,10,Sector 10
04.02.11,TRCP,-8834.21,04-TRCP,Sector 11,26/08/2024,Roads,04,02,11,Sector 11
04.02.11,TRCP,-8769.24,04-TRCP,Sector 11,26/08/2024,Roads,04,02,11,Sector 11
04.02.11,TRCP,438.46,04-TRCP,Sector 11,26/08/2024,Roads,04,02,11,Sector 11
04.02.11,TRCP,-218425.54,04-TRCP,Sector 11,26/08/2024,Roads,04,02,11,Sector 11
04.02.12,TRCP,-17727.74,04-TRCP,Sector 12,26/08/2024,Roads,04,02,12,Sector 12
04.02.12,TRCP,-447284.64,04-TRCP,Sector 12,26/08/2024,Roads,04,02,12,Sector 12
04.02.13,TRCP,-45566.84,04-TRCP,Sector 13,26/08/2024,Roads,04,02,13,Sector 13
04.02.13,TRCP,-12083.86,04-TRCP,Sector 13,26/08/2024,Roads,04,02,13,Sector 13
04.02.13,TRCP,604.19,04-TRCP,Sector 13,26/08/2024,Roads,04,02,13,Sector 13
04.02.13,TRCP,-1146759.47,04-TRCP,Sector 13,26/08/2024,Roads,04,02,13,Sector 13
04.02.15,TRCP,-1211.97,04-TRCP,Sector 15,26/08/2024,Roads,04,02,15,Sector 15
04.02.15,TRCP,-8157.18,04-TRCP,Sector 15,26/08/2024,Roads,04,02,15,Sector 15
04.02.15,TRCP,-25163.72,04-TRCP,Sector 15,26/08/2024,Roads,04,02,15,Sector 15
04.02.26,TRCP,-68130.5,04-TRCP,Sector 26,26/08/2024,Roads,04,02,26,Sector 26
04.02.26,TRCP,-1718985.51,04-TRCP,Sector 26,26/08/2024,Roads,04,02,26,Sector 26
04.02.27,TRCP,-20278.31,04-TRCP,Sector 27 - LCA 1,26/08/2024,Roads,04,02,27,Sector 27 - LCA 1
04.02.27,TRCP,-511637.78,04-TRCP,Sector 27 - LCA 1,26/08/2024,Roads,04,02,27,Sector 27 - LCA 1
04.02.29,TRCP,-30186.47,04-TRCP,Sector 29 - LCA 3,26/08/2024,Roads,04,02,29,Sector 29 - LCA 3
04.02.29,TRCP,-1239.8,04-TRCP,Sector 29 - LCA 3,26/08/2024,Roads,04,02,29,Sector 29 - LCA 3
04.02.29,TRCP,154.98,04-TRCP,Sector 29 - LCA 3,26/08/2024,Roads,04,02,29,Sector 29 - LCA 3
04.02.29,TRCP,-760543.51,04-TRCP,Sector 29 - LCA 3,26/08/2024,Roads,04,02,29,Sector 29 - LCA 3
04.02.30,TRCP,-33127.7,04-TRCP,Sector 30 - LCA 4,26/08/2024,Roads,04,02,30,Sector 30 - LCA 4
04.02.30,TRCP,-2685.13,04-TRCP,Sector 30 - LCA 4,26/08/2024,Roads,04,02,30,Sector 30 - LCA 4
04.02.30,TRCP,134.26,04-TRCP,Sector 30 - LCA 4,26/08/2024,Roads,04,02,30,Sector 30 - LCA 4
04.02.30,TRCP,-833607.58,04-TRCP,Sector 30 - LCA 4,26/08/2024,Roads,04,02,30,Sector 30 - LCA 4
04.02.31,TRCP,-14.96,04-TRCP,Sector 31,26/08/2024,Roads,04,02,31,Sector 31
04.02.31,TRCP,-377.42,04-TRCP,Sector 31,26/08/2024,Roads,04,02,31,Sector 31
04.02.32,TRCP,-10413.99,04-TRCP,TRCP Sector 12a,26/08/2024,Roads,04,02,32,TRCP Sector 12a
04.02.32,TRCP,-262753.26,04-TRCP,TRCP Sector 12a,26/08/2024,Roads,04,02,32,TRCP Sector 12a
04.02.33,TRCP,-17062.34,04-TRCP,TRCP Sector 12b,26/08/2024,Roads,04,02,33,TRCP Sector 12b
04.02.33,TRCP,-48092.77,04-TRCP,TRCP Sector 12b,26/08/2024,Roads,04,02,33,TRCP Sector 12b
04.02.33,TRCP,2404.64,04-TRCP,TRCP Sector 12b,26/08/2024,Roads,04,02,33,TRCP Sector 12b
04.02.33,TRCP,-390142.59,04-TRCP,TRCP Sector 12b,26/08/2024,Roads,04,02,33,TRCP Sector 12b
04.18.00,TRCP,-76.73,04-TRCP,No Sector,26/08/2024,Extractive Industries,04,18,00,No Sector
04.18.00,TRCP,2985.35,04-TRCP,No Sector,26/08/2024,Extractive Industries,04,18,00,No Sector
04.18.00,TRCP,-2908.62,04-TRCP,No Sector,26/08/2024,Extractive Industries,04,18,00,No Sector
05.15.00,O/Space,-29189.19,05-O/Space,No Sector,26/08/2024,Casual Open Space,05,15,00,No Sector
05.15.00,O/Space,-41523.15,05-O/Space,No Sector,26/08/2024,Casual Open Space,05,15,00,No Sector
05.15.00,O/Space,2076.16,05-O/Space,No Sector,26/08/2024,Casual Open Space,05,15,00,No Sector
05.15.00,O/Space,-712103.2,05-O/Space,No Sector,26/08/2024,Casual Open Space,05,15,00,No Sector
05.15.01,O/Space,-0.11,05-O/Space,Sector 1,26/08/2024,Casual Open Space,05,15,01,Sector 1
05.15.01,O/Space,-2.6,05-O/Space,Sector 1,26/08/2024,Casual Open Space,05,15,01,Sector 1
05.15.02,O/Space,-0.24,05-O/Space,Sector 2,26/08/2024,Casual Open Space,05,15,02,Sector 2
05.15.02,O/Space,-6.52,05-O/Space,Sector 2,26/08/2024,Casual Open Space,05,15,02,Sector 2
05.15.03,O/Space,-0.12,05-O/Space,Sector 3,26/08/2024,Casual Open Space,05,15,03,Sector 3
05.15.03,O/Space,-2.8,05-O/Space,Sector 3,26/08/2024,Casual Open Space,05,15,03,Sector 3
05.15.04,O/Space,-0.02,05-O/Space,Sector 4,26/08/2024,Casual Open Space,05,15,04,Sector 4
05.15.04,O/Space,-1,05-O/Space,Sector 4,26/08/2024,Casual Open Space,05,15,04,Sector 4
05.15.05,O/Space,-0.23,05-O/Space,Sector 5,26/08/2024,Casual Open Space,05,15,05,Sector 5
05.15.05,O/Space,-6.05,05-O/Space,Sector 5,26/08/2024,Casual Open Space,05,15,05,Sector 5
05.15.07,O/Space,-0.6,05-O/Space,Sector 7,26/08/2024,Casual Open Space,05,15,07,Sector 7
05.15.07,O/Space,-15.23,05-O/Space,Sector 7,26/08/2024,Casual Open Space,05,15,07,Sector 7
05.16.00,O/Space,-36807.19,05-O/Space,No Sector,26/08/2024,Structured Open Space,05,16,00,No Sector
05.16.00,O/Space,-79603.21,05-O/Space,No Sector,26/08/2024,Structured Open Space,05,16,00,No Sector
05.16.00,O/Space,3980.15,05-O/Space,No Sector,26/08/2024,Structured Open Space,05,16,00,No Sector
05.16.00,O/Space,-877738.44,05-O/Space,No Sector,26/08/2024,Structured Open Space,05,16,00,No Sector
05.16.01,O/Space,126.85,05-O/Space,Sector 1,26/08/2024,Structured Open Space,05,16,01,Sector 1
05.16.01,O/Space,3200.71,05-O/Space,Sector 1,26/08/2024,Structured Open Space,05,16,01,Sector 1
05.16.02,O/Space,9412.08,05-O/Space,Sector 2,26/08/2024,Structured Open Space,05,16,02,Sector 2
05.16.02,O/Space,237474.17,05-O/Space,Sector 2,26/08/2024,Structured Open Space,05,16,02,Sector 2
05.16.03,O/Space,12937.29,05-O/Space,Sector 3,26/08/2024,Structured Open Space,05,16,03,Sector 3
05.16.03,O/Space,326417.68,05-O/Space,Sector 3,26/08/2024,Structured Open Space,05,16,03,Sector 3
05.16.04,O/Space,452.68,05-O/Space,Sector 4,26/08/2024,Structured Open Space,05,16,04,Sector 4
05.16.04,O/Space,11421.45,05-O/Space,Sector 4,26/08/2024,Structured Open Space,05,16,04,Sector 4
05.16.05,O/Space,-0.14,05-O/Space,Sector 5,26/08/2024,Structured Open Space,05,16,05,Sector 5
05.16.05,O/Space,-3.52,05-O/Space,Sector 5,26/08/2024,Structured Open Space,05,16,05,Sector 5
05.16.06,O/Space,86.36,05-O/Space,Sector 6,26/08/2024,Structured Open Space,05,16,06,Sector 6
05.16.06,O/Space,2179.33,05-O/Space,Sector 6,26/08/2024,Structured Open Space,05,16,06,Sector 6
05.16.07,O/Space,0,05-O/Space,Sector 7,26/08/2024,Structured Open Space,05,16,07,Sector 7
05.16.07,O/Space,-0.49,05-O/Space,Sector 7,26/08/2024,Structured Open Space,05,16,07,Sector 7
05.16.08,O/Space,0,05-O/Space,Sector 8,26/08/2024,Structured Open Space,05,16,08,Sector 8
05.16.08,O/Space,-0.74,05-O/Space,Sector 8,26/08/2024,Structured Open Space,05,16,08,Sector 8
05.16.09,O/Space,-199.02,05-O/Space,Sector 9,26/08/2024,Structured Open Space,05,16,09,Sector 9
05.16.09,O/Space,-5021.48,05-O/Space,Sector 9,26/08/2024,Structured Open Space,05,16,09,Sector 9
05.16.10,O/Space,0,05-O/Space,Sector 10,26/08/2024,Structured Open Space,05,16,10,Sector 10
05.16.10,O/Space,-0.22,05-O/Space,Sector 10,26/08/2024,Structured Open Space,05,16,10,Sector 10
06.08.00,Contribution Street Trees,-12871.35,06-Contribution Street Trees,No Sector,26/08/2024,Street Trees,06,08,00,No Sector
06.08.00,Contribution Street Trees,-25839,06-Contribution Street Trees,No Sector,26/08/2024,Street Trees,06,08,00,No Sector
06.08.00,Contribution Street Trees,2583.9,06-Contribution Street Trees,No Sector,26/08/2024,Street Trees,06,08,00,No Sector
06.08.00,Contribution Street Trees,-316216.1,06-Contribution Street Trees,No Sector,26/08/2024,Street Trees,06,08,00,No Sector
07.01.00,West K'Cliff,-10102.17,07-West K'Cliff,No Sector,26/08/2024,Drainage,07,01,00,No Sector
07.01.00,West K'Cliff,-11230.84,07-West K'Cliff,No Sector,26/08/2024,Drainage,07,01,00,No Sector
07.01.00,West K'Cliff,561.55,07-West K'Cliff,No Sector,26/08/2024,Drainage,07,01,00,No Sector
07.01.00,West K'Cliff,-248902.7,07-West K'Cliff,No Sector,26/08/2024,Drainage,07,01,00,No Sector
07.05.00,West K'Cliff,-47033.64,07-West K'Cliff,No Sector,26/08/2024,Open Space,07,05,00,No Sector
