Ledger,Account,Plan,Activity,Sector,Month Num,Month Text,Month,Fiscal Month,Date,Doc Type,Amount,DataDate,,,,,
DC01ACT,45000,04,Roads,No Sector,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-1470,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 1,8,Aug,02-Aug,2,31/08/2000,GLJNLOP,-2453.75,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 1,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-12919,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 1,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-2576,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 1,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-4894,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 1,5,May,11-May,11,31/05/2001,GLJNLOP,-6697,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 2,7,Jul,01-Jul,1,31/07/2000,GLJNLOP,-22710.52,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 2,8,Aug,02-Aug,2,31/08/2000,GLJNLOP,-1684,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 2,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-63992,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 2,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-2719.58,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 2,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-13472,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 2,12,Dec,06-Dec,6,31/12/2000,GLJNLOP,-12436.46,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 2,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-5052,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 2,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-11788,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 2,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-127984,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 4,12,Dec,06-Dec,6,31/12/2000,GLJNLOP,-4393,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 4,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-4393,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 4,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-4393,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 5,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-5342,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 6,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-1820,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 6,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-5915,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 6,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-14198,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 6,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-6553,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 6,5,May,11-May,11,31/05/2001,GLJNLOP,-3640,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 6,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-1820,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 7,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-2394,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 7,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-186732,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 7,5,May,11-May,11,31/05/2001,GLJNLOP,-4393,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 7,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-361930,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 8,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-4717,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 8,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-6066,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 8,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-260700,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 9,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-1936,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 10,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-2394,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 10,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-915,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 10,5,May,11-May,11,31/05/2001,GLJNLOP,-2394,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 11,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,105.81,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 11,2,Feb,08-Feb,8,28/02/2001,GLJNLOP,-6960,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 11,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-105.81,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 12,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,14460.2,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 12,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-14460.2,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 13,8,Aug,02-Aug,2,31/08/2000,GLJNLOP,258,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 13,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-856,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 13,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,40951.28,45530.00,,,,,
DC01ACT,45000,04,Roads,Sector 13,12,Dec,06-Dec,6,31/12/2000,GLJNLOP,-3175,45530.00,,,,,
