site,description,latlong,sharelink,Locality,Segment.ASSET_ID,Segment.ROAD_NAME,Segment.SUBURB
Site 1,Acacia Street off Fraser Drive,"-28.196326,153.521904",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 1,Tweed Heads,RD.2.10.A.1,Acacia Street,Tweed Heads South
Site 225,Kings Street east of Factory Lane,"-28.329005, 153.397571",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 225,Murwillumbah,RD.690.10.A,King Street,Murwillumbah
Site 789,M.R.450 Coast Road north of Morton Street,"-28.246199, 153.554093",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 789,Chinderah,RD.2184.380.A.1,Tweed Coast Road,Chinderah
Site 2,ADVOCATE PLACE off  LEISURE DRIVE,"-28.213559, 153.535877",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 2,Banora Point,RD.7.10.A,Advocate Place,Banora Point
Site 544,Minjungbal Drive south of Shallow Bay Drive,"-28.206619, 153.544616",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 544,Tweed Heads,RD.827.25.B,Minjungbal Drive,Tweed Heads South
Site 340,Minjungbal Drive south of Boyds Bay Bridge,"-28.186519,153.53938",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 340,Tweed Heads,RD.827.120.C,Minjungbal Drive,Tweed Heads South
Site 3,AMAROO DRIVE off FRASER DRIVE,"-28.223984, 153.526767",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 3,Banora Point,RD.23.40.A.2,Amaroo Drive,Banora Point
Site 633,Dulguigan Road at No 809,"-28.266115,153.447459",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 633,North Tumbulgum,RD.422.120.A,Dulguigan Road,North Tumbulgum
Site 761,Charles Street at No 27 Murwillumbah,"-28.179862,153.535893",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 761,Tweed Heads,RD.249.30.A,Charles Street,Tweed Heads
Site 4,AMAROO DRIVE at No 4,"-28.223844, 153.530252",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 4,Banora Point,RD.23.10.A,Amaroo Drive,Banora Point
Site 412,Riverside Drive at No 88,"-28.2733046155346,153.461713015184",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 412,Tumbulgum,RD.1124.40.A.1,Riverside Drive,Tumbulgum
Site 101,CRABS CREEK ROAD off TWEED VALLEY WAY M.R.679,"-28.456924, 153.498308",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 101,Crabbes Creek,RD.355.10.A,Crabbes Creek Road,Crabbes Creek
