Year,Contribution Plan Number,Contribution Plan Description,Expenditure Description,Contribution Ledger Number,Expenditure Ledger Number,Income Ledger Number,Period,Jrnl,Period Amt,Notes
1998-99,1,DCP3 ACTIVE OPEN SPACE,BANORA POINT COMMUNITY CENTRE LAND PURCHASE,A7014.302,A2455,A7899.012,1/4/1999-30/6/1999,1472,434040,
1998-99,1,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,A7012.302,A2455,A2455.002,1/1/1999-31/3/1999,757,450,
1998-99,1,DCP3 COMMUNITY CENTRE,COMM FAC SHIRE WIDE - VALUATIONS AND BANORA POINT COMMUNITY CENTRE LAND PURCHASE,A7012.302,A2455,A2455.002,1/4/1999-30/6/1999,1473,263163.17,
1998-99,2,WESTERN DRAINAGE,WESTERN DRAINAGE (PT S94),A7000.302,A4685.1-749 A4686.001,A3810.008,1/7/1998-30/9/1998,338,847.23,
1998-99,2,WESTERN DRAINAGE,WESTERN DRAINAGE (PT S94),A7000.302,A4685.1-749 A4686.001,A3810.008,1/10/1998-31/12/1998,485,23.16,
1998-99,2,WESTERN DRAINAGE,WESTERN DRAINAGE (PT S94),A7000.302,A4685.1-749 A4686.001,A3810.008,1/1/1999-31/3/1999,758,931.02,
1998-99,2,WESTERN DRAINAGE,WESTERN DRAINAGE (PT S94),A7000.302,A4685.1-749 A4686.001,A3810.008,1/4/1999-30/6/1999,1474,207621.83,
1998-99,4,TRCP,DULGUIGAN ROAD,A7389.302,A3636.001,A3810.005,1/4/1999-30/6/1999,1475,3238.91,
1998-99,4,LTTS,DESIGN ROUNDABOUT GREENWAY DR,A7404.302,A3640.1-747,A3807.001,1/1/1999-31/3/1999,759,1309.63,
1998-99,4,LTTS,DESIGN ROUNDABOUT GREENWAY DR,A7404.302,A3640.1-747,A3807.001,1/4/1999-30/6/1999,1476,3788.62,
1998-99,4,LTTS,SEXTONS HILL,A7408.302,A3641.001,A3807.001,1/10/1998-31/12/1998,486,1303.25,
1998-99,4,LTTS,TURNOCK/CUDGEN RD,A7404.302,A3642.1-749,A3807.001,1/7/1998-30/9/1998,385,5925.37,
1998-99,4,LTTS,TURNOCK/CUDGEN RD,A7404.302,A3642.1-749,A3807.001,1/10/1998-31/12/1998,487,81554.27,
1998-99,4,LTTS,ELROND DR,A7410.302,A3643.1-749,A3807.001,1/7/1998-30/9/1998,385,4140.1,
1998-99,4,LTTS,ELROND DR,A7410.302,A3643.1-749,A3807.001,1/10/1998-31/12/1998,488,1845.92,
1998-99,4,LTTS,ELROND DR,A7410.302,A3643.1-749,A3807.001,1/1/1999-31/3/1999,762,522.65,
1998-99,4,LTTS,ELROND DR,A7410.302,A3643.1-749,A3807.001,1/4/1999-30/6/1999,1477,1207.51,
1998-99,4,LTTS,LOAN 190 PRINCIPAL & INTEREST,A7404..302,LTTS Loan A4000,A3807.001,1/4/1999-30/6/1999,1478,211585,
1998-99,4,LTTS,LAKES DR BRIDGE,A7404.302,A3645.001,A3810.009,1/7/1998-30/9/1998,,19089.34,
1998-99,4,LTTS,LAKES DR BRIDGE,A7404.302,A3645.001,A3810.009,1/10/1998-31/12/1998,489,5780.73,
1998-99,4,LTTS,LAKES DR BRIDGE,A7404.302,A3645.001,A3810.009,1/1/1999-31/3/1999,763,-189.16,
1998-99,4,LTTS,Clothiers Creek Road,A7408.302,A3646.001,A3810.009,1/7/1998-30/9/1998,,4583.88,
1998-99,4,LTTS,Clothiers Creek Road,A7408.302,A3646.001,A3810.009,1/10/1998-31/12/1998,490,482.1,
1998-99,4,LTTS,Clothiers Creek Road,A7408.302,A3646.001,A3810.009,1/1/1999-31/3/1999,764,571.23,
1998-99,4,LTTS,Clothiers Creek Road,A7408.302,A3646.001,A3810.009,1/4/1999-30/6/1999,1479,-571.23,
1998-99,4,LTTS,Old Bogangar Road,A7410.302,RTA Certificate,A3807.001,1/10/1998-31/12/1998,392,611464.29,
1998-99,4,LTTS,Old Bogangar Road,A7410.302,RTA Certificate,A3807.001,1/1/1999-31/3/1999,510,262561.58,
1998-99,4,LTTS,Old Bogangar Road,A7410.302,RTA Certificate,A3807.001,1/4/1999-30/6/1999,,-42352.83,
1998-99,4,LTTS,REVISION OF LTTS,A7408.302,A7820.003,A3810.009,1/10/1998-31/12/1998,491,120,
1998-99,4,LTTS,Beach St Rabout,A7386.302,A4808,A3810.009,1/4/1999-30/6/1999,1480,810.58,
1998-99,4,LTTS,Pottsville Road Purchase,A7388.302,A3638.001,A3810.009,1/4/1999-30/6/1999,1451,6015,
1998-99,4,TRCP(?),KYOGLE RD UKI,A7393.302,A3649,A3810.009,1/4/1999-30/6/1999,1471,1059.3,
1998-99,4,LTTS,TWEED LINK ADVERTISING,A7406.302,A7820.749,A3810.009,1/4/1999-30/6/1999,1452,201.15,
1998-99,5,OPEN SPACE,FURNITURE,A7130-A7168,A1142.001,A7899.012,1/10/1998-31/12/1998,492,143.94,
1998-99,5,OPEN SPACE,FURNITURE,A7130-A7168,A1142.001,A7899.012,1/1/1999-31/3/1999,765,143.75,
1998-99,5,OPEN SPACE,FURNITURE,A7130-A7168,A1142.001,A7899.012,1/4/1999-30/6/1999,1454,-84,
1998-99,5,OPEN SPACE,LORIEN WAY PARK,A7132.302,A3026.001,A7899.012,1/7/1998-30/9/1998,,143.94,
1998-99,5,OPEN SPACE,LORIEN WAY PARK,A7132.302,A3026.001,A7899.012,1/10/1998-31/12/1998,493,14196.06,
1998-99,5,OPEN SPACE,LORIEN WAY PARK,A7132.302,A3026.001,A7899.012,1/4/1999-30/6/1999,1455,257.03,
1998-99,5,OPEN SPACE,Sec94 amend CP5,A7132.302,A1143.001,A7899.012,1/4/1999-30/6/1999,1453,3000,
1998-99,5,OPEN SPACE,Bilambil Rd Landscaping,A7136.302,,A7899.012,1/1/1999-31/3/1999,766,11650,
1998-99,6,CONTRIBUTION STREET TREES,,A7250.302,A3118.001,A3225.002,1/7/1998-30/9/1998,,1331.65,
1998-99,6,CONTRIBUTION STREET TREES,,A7250.302,A3118.002,A3225.002,1/7/1998-30/9/1998,,480,
1998-99,6,CONTRIBUTION STREET TREES,,A7250.302,A3118.002,A3225.002,1/10/1998-31/12/1998,494,500,
1998-99,6,CONTRIBUTION STREET TREES,,A7250.302,A3118.002,A3225.002,1/1/1999-31/3/1999,767,3665.4,
1998-99,6,CONTRIBUTION STREET TREES,,A7250.302,A3118.002,A3225.002,1/4/1999-30/6/1999,1456,2586.3,
1998-99,7,WEST K'CLIFF COMM FACIL,,A7172.302,A7860,A2455.002,1/7/1998-30/9/1998,,19288.17,
1998-99,7,WEST K'CLIFF COMM FACIL,,A7172.302,A7860,A2455.002,1/10/1998-31/12/1998,495,8145.4,
1998-99,7,WEST K'CLIFF COMM FACIL,,A7172.302,A7860,A2455.002,1/1/1999-31/3/1999,768,672.71,
1998-99,7,WEST K'CLIFF COMM FACIL,,A7172.302,A7860,A2455.002,1/4/1999-30/6/1999,1457,160.06,
1998-99,7,WEST K'CLIFF CYCLEWAY,,A7174.302,A4836,A3225.003,1/1/1999-31/3/1999,771,78670.69,
1998-99,11,LIBRARIES,PART CONTRIBUTION,A7210.302,A2280.001 A2282.004,A2347.793,1/1/1999-31/3/1999,1522,137000,
1998-99,11,LIBRARIES,PART CONTRIBUTION,A7210.302,A2280.001 A2282.004,A2347.793,1/4/1999-30/6/1999,1458,9999.6,
1998-99,13,CEMETERIES,ENVIRON CEMETERY,A7070.302,A2805.001,A2895.002,1/7/1998-30/9/1998,,44371.81,
1998-99,13,CEMETERIES,ENVIRON CEMETERY,A7070.302,A2805.001,A2895.002,1/10/1998-31/12/1998,496,12757.17,
1998-99,13,CEMETERIES,ENVIRON CEMETERY,A7070.302,A2805.001,A2895.002,1/1/1999-31/3/1999,,-57128.98,
1998-99,13,CEMETERIES,ENVIRON CEMETERY,A7070.302,A2805.001,A2895.002,1/4/1999-30/6/1999,1524,27038.5,
1998-99,16,SLSC,EQUIPMENT,A7102.302,A2065.004,A2065.005,1/7/1998-30/9/1998,,5263,
1998-99,16,SLSC,EQUIPMENT,A7102.302,A2065.004,A2065.005,1/10/1998-31/12/1998,497,13410,
1998-99,18,Council Tech. Facilities,,A7198.302,A2135,A2237,1/4/1999-30/6/1999,1459,24683.33,
1998-99,19,Kings Beach,,A7199.302,A7822.001- A7822.006 A4853.001,A7822.793,1/4/1999-30/6/1999,1460,1211.51,
1998-99,None,10% ADMIN LEVY,,A7010-A7512,ATTACHED,A1128.001 A0195.793 A1451.793 A5290.001,1/7/1998-30/9/1998,392,51387.21,
1998-99,None,10% ADMIN LEVY,,A7010-A7512,ATTACHED,A1128.001 A0195.793 A1451.793 A5290.001,1/10/1998-31/12/1998,,47832.15,
1998-99,None,10% ADMIN LEVY,,A7010-A7512,ATTACHED,A1128.001 A0195.793 A1451.793 A5290.001,1/1/1999-31/3/1999,760,27308.34,
1998-99,None,10% ADMIN LEVY,,A7010-A7512,ATTACHED,A1128.001 A0195.793 A1451.793 A5290.001,1/4/1999-30/6/1999,1338,45151.47,
