Plan	Levy	Application ID	Decision	Application Description	Short Description	locality	AssessedBy	DeterminedBy	ApprovalDate	ApprovalYear	Property_No	Purpose	BALANCE	LEVIED	PAID
S94-01	S94-01 - Casual Open Space	0066/2001S96	Approved	amendment to Development Consent D94/0379 for the construction of 11 x 3 bedroom flats and 26 x 3 bedroom cluster homes	amendment to Development Consent D94/0379 for the constructi	BANORA POINT	DevUnit	Council	2001-06-12 00:00:00.000	2001	49411	Open Space	0.000000	6354.000000	-6354.000000
S94-01	S94-01 - Casual Open Space	0111/2002DA	Approved	the erection of a detached dual occupancy	the erection of a detached dual occupancy	BANORA POINT	DevUnit	Council	2002-04-04 14:18:34.000	2002	51169	Open Space	0.000000	1059.000000	-1059.000000
S94-01	S94-01 - Casual Open Space	0140/2002DA	Approved	the erection of an attached dual occupancy	the erection of an attached dual occupancy	BANORA POINT	DevUnit	Council	2002-05-17 13:22:48.000	2002	42928	Open Space	0.000000	1059.000000	-1059.000000
S94-01	S94-01 - Casual Open Space	0161/2002DA	Approved	the erection of an attached dual occupancy	the erection of an attached dual occupancy	BANORA POINT	DevUnit	Council	2002-05-08 12:34:46.000	2002	42927	Open Space	0.000000	1059.000000	-1059.000000
S94-01	S94-01 - Casual Open Space	0175/2002DA	Approved	the erection of an attached dual occupancy	the erection of an attached dual occupancy	BANORA POINT	DevUnit	Council	2002-05-17 13:55:12.000	2002	42929	Open Space	0.000000	1059.000000	-1059.000000
S94-01	S94-01 - Casual Open Space	0176/2001DA	Approved	two (2) lot residential subdivision	two (2) lot residential subdivision	TWEED HEADS SOUTH	DevUnit	Council	2001-04-02 00:00:00.000	2001	34289	Open Space	0.000000	1059.000000	-1059.000000
S94-01	S94-01 - Casual Open Space	0185/2001DA	Approved	establishment of a three (3) lot residential subdivision	establishment of a three (3) lot residential subdivision	BANORA POINT	DevUnit	Council	2001-07-11 00:00:00.000	2001	42677	Open Space	0.000000	2118.000000	-2118.000000
S94-01	S94-01 - Casual Open Space	0570/2000DA	Approved	10 lot community title subdivision to be developed in nine stages	10 lot community title subdivision to be developed in nine s	BANORA POINT	DevUnit	Council	2000-06-23 00:00:00.000	2000	16996	Open Space	0.000000	13627.000000	-13627.000000
S94-01	S94-01 - Casual Open Space	0589/2000DA	Approved	an integrated housing development comprising 13 single storey dwellings including a community title subdivision	an integrated housing development comprising 13 single store	BANORA POINT	DevUnit	Council	2000-06-29 00:00:00.000	2000	41073	Open Space	0.000000	12708.000000	-12708.000000
S94-01	S94-01 - Casual Open Space	0969/2001DA	Approved	the erection of a multi-dwelling housing development comprising 33 x 1 bedroom units	the erection of a multi-dwelling housing development compris	BANORA POINT	DevUnit	Council	2001-12-24 00:00:00.000	2001	44118	Open Space	0.000000	12848.000000	-12848.000000
S94-01	S94-01 - Casual Open Space	1288/2000DA	Approved	an urban subdivision (3 allotments)	an urban subdivision (3 allotments)	BANORA POINT	DevUnit	Council	2001-05-11 00:00:00.000	2001	34001	Open Space	0.000000	4814.000000	-4814.000000
S94-01	S94-01 - Casual Open Space	1349/2001DA	Approved	the erection of a multi-dwelling housing development comprising 64 dwellings, swimming pool, gazebo and ancillary facilities	the erection of a multi-dwelling housing development compris	TWEED HEADS SOUTH	DevUnit	Council	2002-03-01 00:00:00.000	2002	42412	Open Space	0.000000	49274.000000	-49274.000000
