"PLAN","Levy","Application ID","Decision","Application Description","Short Description","locality","AssessedBy","DeterminedBy","ApprovalDate","ApprovalYear","Property_No","Purpose","BALANCE","LEVIED","PAID"
"S94-01","S94-01 - Casual Open Space","0066/2001S96","Approved","amendment to Development Consent D94/0379 for the construction of 11 x 3 bedroom flats and 26 x 3 bedroom cluster homes","amendment to Development Consent D94/0379 for the constructi","BANORA POINT","DevUnit",,,2001,"4941","Open Space","0","6354","6354"
"S94-01","S94-01 - Casual Open Space","0111/2002DA","Approved","the erection of a detached dual occupancy","the erection of a detached dual occupancy","BANORA POINT","DevUnit",,,2002,"5116","Open Space","0","1059","1059"
"S94-01","S94-01 - Casual Open Space","0140/2002DA","Approved","the erection of an attached dual occupancy","the erection of an attached dual occupancy","BANORA POINT","DevUnit",,,2002,"4292","Open Space","0","1059","1059"
"S94-01","S94-01 - Casual Open Space","0161/2002DA","Approved","the erection of an attached dual occupancy","the erection of an attached dual occupancy","BANORA POINT","DevUnit",,,2002,"4292","Open Space","0","1059","1059"
"S94-01","S94-01 - Casual Open Space","0175/2002DA","Approved","the erection of an attached dual occupancy","the erection of an attached dual occupancy","BANORA POINT","DevUnit",,,2002,"4292","Open Space","0","1059","1059"
"S94-01","S94-01 - Casual Open Space","0176/2001DA","Approved","two (2) lot residential subdivision","two (2) lot residential subdivision","TWEED HEADS SOUTH","DevUnit",,,2001,"3428","Open Space","0","1059","1059"
"S94-01","S94-01 - Casual Open Space","0185/2001DA","Approved","establishment of a three (3) lot residential subdivision","establishment of a three (3) lot residential subdivision","BANORA POINT","DevUnit",,,2001,"4267","Open Space","0","2118","2118"
"S94-01","S94-01 - Casual Open Space","0570/2000DA","Approved","10 lot community title subdivision to be developed in nine stages","10 lot community title subdivision to be developed in nine s","BANORA POINT","DevUnit",,,2000,"1699","Open Space","0","13627","1059"
"S94-01","S94-01 - Casual Open Space","0589/2000DA","Approved","an integrated housing development comprising 13 single storey dwellings including a community title subdivision","an integrated housing development comprising 13 single store","BANORA POINT","DevUnit",,,2000,"4107","Open Space","0","12708","12708"
"S94-01","S94-01 - Casual Open Space","0969/2001DA","Approved","the erection of a multi-dwelling housing development comprising 33 x 1 bedroom units","the erection of a multi-dwelling housing development compris","BANORA POINT","DevUnit",,,2001,"4411","Open Space","0","12848","12848"
"S94-01","S94-01 - Casual Open Space","1288/2000DA","Approved","an urban subdivision (3 allotments)","an urban subdivision (3 allotments)","BANORA POINT","DevUnit",,,2001,"3400","Open Space","0","4814","4814"
"S94-01","S94-01 - Casual Open Space","1349/2001DA","Approved","the erection of a multi-dwelling housing development comprising 64 dwellings, swimming pool, gazebo and ancillary facilities","the erection of a multi-dwelling housing development compris","TWEED HEADS SOUTH","DevUnit",,,2002,"4241","Open Space","0","49274","49274"
