High Level,TRCP SECTOR,Road Corridor,GIS Link,Group,Id+Tag,Project Tag,V6 Item,TRCP Projects,Status,Cost Status,SUBTOTALS($),In V7,TRDS2017-ID,TRDS2017-Project,TRDS2017-Desc,V7 Item,TRDS2017-TRCP
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,,Interchange with Western By-Pass,"1: Boyd St overpass, earthworks and approach roads. Single lane only.","Boyd St overpass, earthworks and approach roads. Single lane only.",1,"Boyd St overpass, earthworks and approach roads. Single lane only.",Completed,Actual Cost,6450000,Yes,EXCL-COMPLETE,Completed V6 item not in TRDS,0,,0
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,,Interchange with Western By-Pass,"2: Boyd St Overpass, earthworks and approach road. Future TSC Duplication","Boyd St Overpass, earthworks and approach road. Future TSC Duplication",2,"Boyd St Overpass, earthworks and approach road. Future TSC Duplication",Not Started,Preliminary Estimate,16342075,Yes,1,Construct Cobaki Parkway,"Boyd St overpass (Pacific Mwy) to Piggabeen Rd connection, passes through Cobaki development area.2-lane Piggabeen Rd to Town Centre. 4-lane section from Town Centre, north.",,Existing
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,,Interchange with Western By-Pass,3: North Bound On South Bound Off,North Bound On South Bound Off,3,North Bound On South Bound Off,Not Started,Preliminary Estimate,14220440,Yes,2,Cobaki Interchange,"Pacific Motorway interchange at Boyd St, Northbound-on and Southbound-off ramps.",,Existing
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,,Interchange with Western By-Pass,3(c): Compensatory Habitat and impact mitigation,Compensatory Habitat and impact mitigation,3(c),Compensatory Habitat and impact mitigation,Not Started,Preliminary Estimate,1000000,Yes,2,Cobaki Interchange,"Pacific Motorway interchange at Boyd St, Northbound-on and Southbound-off ramps.",,Existing
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,,Interchange with Western By-Pass,3(d): Remove Landfill Eastern Approach,Remove Landfill Eastern Approach,3(d),Remove Landfill Eastern Approach,Completed,Detailed Estimate,3000000,Yes,2,Cobaki Interchange,"Pacific Motorway interchange at Boyd St, Northbound-on and Southbound-off ramps.",,Existing
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,,Interchange with Western By-Pass,4: Purchase CALM Land,Purchase CALM Land,4,Purchase CALM Land,Completed,Actual Cost,60000,Yes,2,Cobaki Interchange,"Pacific Motorway interchange at Boyd St, Northbound-on and Southbound-off ramps.",,Existing
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,Acquisition added, QLD Border to First Roundabout,6:     -- two lanes,    -- two lanes,6,    -- two lanes,Commenced,Detailed Estimate,1346304,Yes,1,Construct Cobaki Parkway,"Boyd St overpass (Pacific Mwy) to Piggabeen Rd connection, passes through Cobaki development area.2-lane Piggabeen Rd to Town Centre. 4-lane section from Town Centre, north.",,Existing
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,Acquisition added,QLD Border to First Roundabout,6(a):     -- additional two lanes,    -- additional two lanes,6(a),    -- additional two lanes,Not Started,Preliminary Estimate,1379664,Yes,1,Construct Cobaki Parkway,"Boyd St overpass (Pacific Mwy) to Piggabeen Rd connection, passes through Cobaki development area.2-lane Piggabeen Rd to Town Centre. 4-lane section from Town Centre, north.",,Existing
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,Acquisition added, QLD Border to First Roundabout,7:     -- two lanes,    -- two lanes,7,    -- two lanes,Commenced,Detailed Estimate,440755.2,Yes,1,Construct Cobaki Parkway,"Boyd St overpass (Pacific Mwy) to Piggabeen Rd connection, passes through Cobaki development area.2-lane Piggabeen Rd to Town Centre. 4-lane section from Town Centre, north.",,Existing
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,Acquisition added,QLD Border to First Roundabout,7(a):     -- additional two lanes,    -- additional two lanes,7(a),    -- additional two lanes,Not Started,Preliminary Estimate,455083.2,Yes,1,Construct Cobaki Parkway,"Boyd St overpass (Pacific Mwy) to Piggabeen Rd connection, passes through Cobaki development area.2-lane Piggabeen Rd to Town Centre. 4-lane section from Town Centre, north.",,Existing
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,Earthworks allowance added,Cobaki Parkway -- QLD Border to First Roundabout,7(b): Earthworks Allowance,Earthworks Allowance,7(b),Earthworks Allowance,Commenced,Detailed Estimate,998400,Yes,1,Construct Cobaki Parkway,"Boyd St overpass (Pacific Mwy) to Piggabeen Rd connection, passes through Cobaki development area.2-lane Piggabeen Rd to Town Centre. 4-lane section from Town Centre, north.",,Existing
URBAN ROADS,SECTOR 3 - COBAKI ,COBAKI PARKWAY,First Roundabout added,QLD Border to First Roundabou,8: First Roundabout 2 lane,First Roundabout 2 lane,8,First Roundabout 2 lane,Commenced,Detailed Estimate,542720,Yes,1,Construct Cobaki Parkway,"Boyd St overpass (Pacific Mwy) to Piggabeen Rd connection, passes through Cobaki development area.2-lane Piggabeen Rd to Town Centre. 4-lane section from Town Centre, north.",,Existing
