,,," $922,052,571 ",,,,,,,,,,,,,,,,,,
 Item No. , TRDS Item , Tweed Road Contribution Projects , TOTAL ,Column1, Active , Cost Estimate , Column2 , Construction Cost , Professional & Principal Costs ,, Preliminaries ,, Traffic Control ,, Contingency  ,, Escalation ,,,,
,,,,,,,,, Rate ,Cost ($), Rate ,Cost ($), Rate ,Cost ($), Rate ,Cost ($), Year , Rate ,Cost ($),,
6.00,1,Cobaki Parkway northern section - QLD Border to first intersection (780m) (stage 1) (Including first intersection)," $23,874,775 ",,Yes,,," $14,347,821.34 ",10%," $1,434,782 ",9%," $1,291,304 ",9%," $1,291,304 ",30.00%," $5,509,563 ",,0.00%, $-   ,,
6.01,1,Cobaki  -- additional two lanes, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
7.00,1,Cobaki Parkway two lanes 180m to first roundabout, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
7.01,1,Cobaki  -- additional two lanes, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
7.02,1,Cobaki Earthworks Allowance, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
8.00,1,Cobaki First roundabout 780m from QLD border, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
9.00,1,Cobaki Parkway central section - northern intersection to town centre intersection (804m) (two-lanes) (excluding northern intersection and including town centre intersection)," $24,136,041 ",,Yes,,," $14,504,832.31 ",10%," $1,450,483 ",9%," $1,305,435 ",9%," $1,305,435 ",30.00%," $5,569,856 ",,0.00%, $-   ,,
9.01,1,Cobaki-- additional two lanes, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
10.01,1,Cobaki Town Centre Intersection ultimate, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
10.02,1,Cobaki Earthworks Allowance, $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
11.00,1,Cobaki Parkway southern section - town centre intersection to Cobaki Creek Bridge (2600m) (two-lanes) (excluding town centre intersection and including 2 further intersections)," $85,747,435 ",,Yes,,," $55,428,206.16 ",7%," $3,879,974 ",6%," $3,325,692 ",6%," $3,325,692 ",30.00%," $19,787,870 ",,0.00%, $-   ,,
12.02,1,"Cobaki Parkway roundabout intersections 2 lane ultimate (3 additional roundabouts (Sandy Lane South, and two others)", $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
13.00,1,Cobaki Parkway Bridge (80m) (two-lanes + turning lane)," $15,564,989 ",,Yes,,," $9,353,960.00 ",10%," $935,396 ",9%," $841,856 ",9%," $841,856 ",30.00%," $3,591,921 ",,0.00%, $-   ,,
15.00,1,"Cobaki Parkway, Piggabeen Rd and Scenic Dr Link Rd intersection"," $7,109,011 ",,Yes,,," $4,050,718.73 ",13%," $526,593 ",11%," $445,579 ",11%," $445,579 ",30.00%," $1,640,541 ",,0.00%, $-   ,,
16.00,3,Scenic Dr Link Rd northern section - Piggabeen Rd to McAllisters Rd Extension (1250m) (ultimate design) (excluding northern intersection and including intersection with McAllister Rd Extension)," $37,682,028 ",,Yes,,," $24,358,130.61 ",7%," $1,705,069 ",6%," $1,461,488 ",6%," $1,461,488 ",30.00%," $8,695,853 ",,0.00%, $-   ,,
16.01,3,Scenic Dr Link Road Piggabeen Rd to McAllisters Road Extension (Residential Zone R5), $-   ,,EXCLUDE,,, $-   ,0%, $-   ,0%, $-   ,0%, $-   ,, $-   ,,0.00%, $-   ,,
