Application ID,Application Description,Lots,DECISION,Approval Date,Approval Year,locality,legal_description,Plan,Purpose,Levy,LEVIED,LEVIED Description,PAID,PAID Description,WIK CREDIT,WIK Description,BALANCE,formatted_address,Determined By,TR TYPE,Charge Amount,Reference
DA23/0300,use of existing mezzanine level within a public administration building,1,Approved,2023-08-08,2023,KINGSCLIFF,Lot 4 DP 1256458,S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,114.98,0,,,,,0,62 Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,68.97,
DA23/0300,use of existing mezzanine level within a public administration building,1,Approved,2023-08-08,2023,KINGSCLIFF,Lot 4 DP 1256458,S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,,,-114.97999999999999,DA23/0300 (40% Emp Gen Discount)JT,,,0,62 Cylinders Drive KINGSCLIFF NSW 2487,Council,PAID,68.97,DA23/0300 (40% Emp Gen Discount)JT
DA23/0068,alterations and additions to existing dwelling including an in-ground swimming pool,1,Approved,2023-03-29,2023,KINGSCLIFF,Lot 48 DP 879147,S94-07,Drainage,S94-07 - West Kcliff Community Drainage,,,-663.54,0,,,0,41 Kingfisher Circuit KINGSCLIFF NSW 2487,Council,PAID,663.54,
DA23/0068,alterations and additions to existing dwelling including an in-ground swimming pool,1,Approved,2023-03-29,2023,KINGSCLIFF,Lot 48 DP 879147,S94-07,Drainage,S94-07 - West Kcliff Community Drainage,663.54,0,,,,,0,41 Kingfisher Circuit KINGSCLIFF NSW 2487,Council,LEVIED,663.54,
DA22/0808,alterations and additions to an existing dwelling including carport forward of the building line,1,Approved,2023-02-27,2023,KINGSCLIFF,Lot 184 DP 852230,S94-07,Drainage,S94-07 - West Kcliff Community Drainage,222.1,0,,,,,222.1,23 Monarch Drive KINGSCLIFF NSW 2487,Council,LEVIED,222.1,
DA22/0724,"alterations and additions to Victory Group vehicle dealership including partial demolition and renovation of the existing workshop, expansion and renovation of the MG/LDV/Isuzu showroom, new MG/LDV/Isuzu service office, expansion and renovation of the Ford showroom, service office and combined service workshop, increase in the number of vehicle service bays, new service drive through, car park and vehicle display reconfiguration, relocation of existing signage and one new sign and lot consolidation",5,Approved,2023-07-26,2023,TWEED HEADS SOUTH,Lots 3-4 DP 30841 Lot 1 DP 810555,S94-04,Roads,S94-04 - Road Contribution Sector 02,37866.1,0,,,,,0,10-20 Minjungbal Drive TWEED HEADS SOUTH NSW 2486,Council,LEVIED,22720.12,
DA22/0724,"alterations and additions to Victory Group vehicle dealership including partial demolition and renovation of the existing workshop, expansion and renovation of the MG/LDV/Isuzu showroom, new MG/LDV/Isuzu service office, expansion and renovation of the Ford showroom, service office and combined service workshop, increase in the number of vehicle service bays, new service drive through, car park and vehicle display reconfiguration, relocation of existing signage and one new sign and lot consolidation",5,Approved,2023-07-26,2023,TWEED HEADS SOUTH,Lots 3-4 DP 30841 Lot 1 DP 810555,S94-04,Roads,S94-04 - Road Contribution Sector 02,,,-37866.1,DA22/0724 (40% Emp Gen Discount)JT,,,0,10-20 Minjungbal Drive TWEED HEADS SOUTH NSW 2486,Council,PAID,22720.12,DA22/0724 (40% Emp Gen Discount)JT
DA22/0678,alterations and additions to existing dwelling including in-ground swimming pool and carport within the front building line,1,Approved,2023-03-24,2023,KINGSCLIFF,Lot 61 DP 249140,S94-07,Drainage,S94-07 - West Kcliff Community Drainage,457.1,0,,,,,457.1,21 Surf Street KINGSCLIFF NSW 2487,Council,LEVIED,457.1,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-01,Open Space,S94-01 - Casual Open Space (no dedication),2437.87,0,,,,,2437.87,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,2437.87,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-01,Open Space,S94-01 - Structured Open Space,3462.6,0,,,,,3462.6,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,3462.6,
